age,job,marital,education,balance,housing,duration,campaign,deposit
46,0,1,0,526,0,251,3,0
46,0,1,1,2552,0,260,1,1
25,1,0,0,139,0,202,1,1
43,1,1,0,3288,1,775,3,1
37,5,0,3,217,0,272,2,1
36,1,1,0,368,1,1597,2,1
38,2,1,0,3165,1,152,2,0
48,8,0,0,71,0,97,3,0
31,5,0,0,609,1,1126,1,0
28,0,2,0,451,1,302,1,1
34,3,1,1,105,1,314,3,0
49,1,1,0,412,0,1293,8,1
27,10,0,1,5214,1,94,1,0
41,1,0,0,30,0,1003,1,0
38,10,2,0,2674,1,163,2,0
74,4,1,2,5539,0,390,2,0
52,1,1,0,137,0,227,2,1
35,5,2,0,0,1,1205,1,1
42,8,1,2,16,0,79,1,0
30,3,0,1,1466,0,111,4,0
29,0,0,0,464,0,208,2,1
34,0,1,0,1467,1,113,1,0
61,4,1,0,86,0,149,1,1
40,5,1,0,1808,1,560,1,1
37,3,1,1,40,0,1033,4,1
36,2,0,0,-253,1,1073,1,1
34,5,1,2,5299,1,75,5,0
40,1,1,0,990,1,252,3,0
64,4,1,0,4787,0,392,1,1
62,3,1,1,997,0,554,1,1
39,0,1,2,444,1,374,2,0
29,5,0,0,244,1,19,2,0
51,9,1,3,2642,0,52,6,0
46,10,1,0,548,0,1181,4,1
42,5,1,2,803,1,171,2,0
28,3,0,1,1414,1,294,1,1
48,3,0,1,830,0,961,4,1
27,11,0,0,213,0,378,1,1
36,2,2,2,418,1,156,2,0
51,2,2,0,242,0,1336,4,1
22,11,0,0,2488,0,449,2,1
76,4,1,2,163,0,120,1,0
28,10,0,1,805,0,331,1,1
58,3,0,1,342,0,564,2,0
32,10,1,0,1942,1,84,9,0
47,3,0,1,86,0,253,1,1
42,3,1,1,-700,1,110,1,0
47,3,1,0,2892,0,556,1,1
41,1,0,3,5372,1,248,3,1
34,3,1,1,1006,1,783,3,1
35,5,1,2,0,0,57,4,0
34,5,1,0,405,1,103,1,0
45,0,1,0,0,0,113,2,0
32,2,1,0,1273,1,1365,2,1
41,5,1,0,4910,1,1090,1,0
58,1,1,0,3399,0,1078,1,1
23,11,0,0,151,1,97,1,0
32,1,0,0,-1,1,37,1,0
49,1,2,3,387,0,325,1,1
52,3,1,1,601,1,249,2,0
54,3,1,1,154,0,155,3,0
54,3,1,1,1146,1,205,2,0
38,5,0,2,947,1,361,2,0
36,3,1,1,539,0,176,1,0
36,3,1,1,396,0,67,5,0
31,10,0,1,84,0,157,4,0
52,5,1,0,2276,0,83,3,0
51,5,1,0,984,1,353,4,0
60,4,1,0,7,0,87,5,0
36,2,1,0,335,1,339,2,0
40,6,0,1,7968,0,263,2,1
84,4,1,1,4761,0,1405,1,1
29,2,0,0,20,1,431,1,0
37,5,1,0,0,1,473,1,0
33,1,1,0,0,0,78,2,0
33,5,1,0,263,1,206,3,0
73,4,1,2,542,0,107,5,0
38,1,1,0,183,1,256,3,0
25,2,0,0,333,0,1056,2,1
37,2,0,0,50,0,244,1,0
28,3,0,1,882,0,107,2,0
26,0,0,1,760,1,456,2,1
36,0,1,0,1207,1,1792,2,1
37,1,1,0,1458,0,281,1,1
50,1,1,1,2313,0,553,1,1
40,1,1,1,206,0,499,6,1
32,1,0,1,13711,1,638,1,0
36,3,1,1,3770,1,150,4,0
47,1,1,0,-9,0,457,2,0
39,2,0,0,26,1,166,3,0
22,0,0,0,372,0,218,1,1
32,1,1,0,2556,0,269,3,0
45,3,1,3,9051,1,124,63,0
46,2,1,0,2948,0,893,1,1
56,3,1,1,2551,1,150,2,0
51,8,1,2,289,0,97,5,0
49,5,2,0,23,0,221,2,0
51,0,1,0,3025,0,476,1,1
47,1,1,0,568,1,1613,1,1
37,2,0,0,54,1,118,1,0
37,10,0,1,1188,0,310,1,1
29,5,0,0,322,0,434,1,1
62,4,1,0,1495,0,265,1,1
40,6,0,1,7968,0,596,1,1
30,1,0,0,426,1,127,4,0
51,5,1,2,1694,0,186,2,0
30,1,0,0,2544,0,108,2,1
34,1,0,0,1313,0,176,1,0
31,2,0,0,900,1,221,2,0
49,7,2,3,-701,1,988,2,1
53,3,1,1,15,0,921,2,1
43,8,1,2,25,0,121,2,0
28,3,0,1,874,1,509,1,1
32,3,1,1,3387,1,1111,5,1
33,6,0,0,233,1,221,4,0
34,3,1,1,580,1,380,1,0
47,2,1,0,1764,0,119,6,0
34,1,1,0,1012,1,540,1,1
32,5,1,2,-6,1,169,2,0
59,4,2,0,5845,0,1060,2,1
33,3,0,1,1859,1,1169,4,0
34,5,0,2,79,0,336,4,1
34,0,2,0,0,1,153,1,0
30,10,1,0,131,1,306,1,0
35,3,0,1,1396,1,809,1,1
38,5,1,0,292,1,84,2,0
35,6,1,2,3285,0,1555,2,1
57,3,2,1,3287,0,277,2,1
54,1,1,0,827,0,294,2,0
37,1,1,0,432,1,386,3,1
58,6,1,0,1625,0,286,2,1
33,5,1,0,395,1,122,1,0
30,2,0,0,438,1,98,1,0
38,5,0,0,1012,1,69,1,0
39,1,0,0,15,1,510,1,1
29,2,0,3,196,0,726,2,1
30,0,1,0,-170,1,130,1,0
29,3,0,1,697,0,365,1,1
38,1,0,1,25,1,232,2,1
29,1,0,1,910,1,278,1,0
49,7,1,1,313,1,42,2,0
47,3,1,1,60,0,282,7,0
36,2,1,0,297,1,157,5,0
44,3,1,1,70,0,165,3,0
52,10,0,2,217,0,193,6,0
34,1,1,0,390,1,95,2,1
42,1,1,0,-197,1,66,7,0
47,0,1,0,3676,0,415,2,1
33,7,1,0,137,1,136,3,0
46,5,1,2,-271,1,65,2,0
35,2,1,1,4564,0,45,6,0
